_id,courseId,descriptionSize,keyWord,learnerCount,productDifficultyLevel,productName,score,source,time
5c9fb5c413ba61f2f06752b4,course~CpOs5DyhEea_QBJ9iBnl3w,752,ai,7393.0,Mixed,Nearest Neighbor Collaborative Filtering,4.279329608938547,coursera.org,13.0
5c9fb5c813ba61f2f06752b7,course~-RdrYBzlEeiXawqf8NC2Yg,115,ai,10102.0,Intermediate,Intro to TensorFlow,4.452660054102795,coursera.org,9.0
5c9fb5cb13ba61f2f06752b9,course~C40AUGZoEeWq4RLQvtY_lQ,687,ai,8986.0,Intermediate,Data-driven Astronomy,4.846153846153846,coursera.org,20.0
5c9fb5cf13ba61f2f06752bc,course~g4sFEnitEeaCZBIelfdoiQ,684,ai,12171.0,Advanced,Probabilistic Graphical Models 3: Learning,4.626262626262626,coursera.org,24.0
5c9fb5d613ba61f2f06752bf,course~eGjoytoJEeWyqBL0ju_dbQ,1102,ai,2533.0,Intermediate,Water Supply and Sanitation Policy in Developing Countries Part 2: Developing Effective Interventions,4.666666666666667,coursera.org,21.0
5c9fb5d913ba61f2f06752c2,course~fYuElDEgEeiCvhLLCIZW_A,302,ai,24196.0,Beginner,Data Analysis with Python,4.618173679498657,coursera.org,7.0
5c9fb5dc13ba61f2f06752c5,course~nZYl8m_GEeeLuxKawECaMg,540,ai,11154.0,Beginner,Combinatorics and Probability,4.574766355140187,coursera.org,20.0
5c9fb5df13ba61f2f06752c7,course~Rw3kIzyiEea1eg6YQeunOw,471,ai,7995.0,Mixed,Matrix Factorization and Advanced Techniques,4.256410256410256,coursera.org,8.0
5c9fb5e413ba61f2f06752ca,course~zTIUbG_yEeimLwog86FBpA,575,ai,183.0,Intermediate,Launching into Machine Learning en Français,,coursera.org,9.0
5c9fb5e813ba61f2f06752cd,course~Is9jHhyKEeaHoAovRHhd_Q,1265,ai,64389.0,Beginner,Understanding Einstein: The Special Theory of Relativity,4.852201257861635,coursera.org,40.0
5c9fb5eb13ba61f2f06752d0,s12n~ld4PPqJjEeieFhLCyhX8AA,1302,ai,113.0,Intermediate,Machine Learning with TensorFlow on Google Cloud Platform auf Deutsch,5.0,coursera.org,
5c9fb5ef13ba61f2f06752d3,course~bFT_-aJgEei77BJh40d1Qg,362,ai,16.0,Intermediate,Art and Science of Machine Learning en Français,,coursera.org,13.0
5c9fb5f213ba61f2f06752d5,course~_-SeZWb9EeWXpwqLqkqVsw,727,ai,22586.0,Beginner,機器學習基石上 (Machine Learning Foundations)---Mathematical Foundations,4.9106529209622,coursera.org,17.0
5c9fb5f513ba61f2f06752d8,course~di4l_R0lEeaP7xL2JHHq4w,1180,ai,104193.0,Intermediate,Applied Machine Learning in Python,4.652466367713004,coursera.org,24.0
5c9fb5f813ba61f2f06752da,course~Mz1ninIDEeeWCg71xNIlJg,709,ai,35986.0,Advanced,How to Win a Data Science Competition: Learn from Top Kagglers,4.714003944773175,coursera.org,49.0
5c9fb5fb13ba61f2f06752dd,course~pNXe13ICEeeBKg4MjLYj6A,455,ai,40759.0,Advanced,Introduction to Deep Learning,4.586618876941458,coursera.org,37.0
5c9fb5fe13ba61f2f06752df,course~senhGTbqEeWw6g4yTrGrVQ,781,ai,33030.0,Mixed,Machine Learning for Data Analysis,4.165137614678899,coursera.org,12.0
